Category,Author,Title/Subtitle,Barcode,Circ Type,Description 1,Description 2,Description 3,ISBN,Subject
,"Andrews, Jesse.",Me and Earl and the dying girl : a novel,T 49133,MS/US Circulating,,,,978-1-41970176-4,
,"Angleberger, Tom,",Princess Labelmaker to the rescue! : an Origami Yoda book,T 35562,MS/US Circulating,,,,978-1-41971052-0,Eccentrics and eccentricities -- Fiction.
,"Angleberger, Tom,",Princess Labelmaker to the rescue! : an Origami Yoda book,T 35562,MS/US Circulating,,,,978-1-41971052-0,Finger puppets -- Fiction.
,"Angleberger, Tom,",Princess Labelmaker to the rescue! : an Origami Yoda book,T 35562,MS/US Circulating,,,,978-1-41971052-0,Interpersonal relations -- Fiction.
,"Angleberger, Tom,",Princess Labelmaker to the rescue! : an Origami Yoda book,T 35562,MS/US Circulating,,,,978-1-41971052-0,Middle schools -- Fiction.
,"Angleberger, Tom,",Princess Labelmaker to the rescue! : an Origami Yoda book,T 35562,MS/US Circulating,,,,978-1-41971052-0,Origami -- Fiction.
,"Angleberger, Tom,",Princess Labelmaker to the rescue! : an Origami Yoda book,T 35562,MS/US Circulating,,,,978-1-41971052-0,Schools -- Fiction.
,"Angleberger, Tom,",Rocket and Groot : stranded on planet strip mall!,T 24273,MS/US Circulating,,,,978-1-48471452-2,
,"Angleberger, Tom,",The surprise attack of Jabba the Puppett : an Origami Yoda book,T 23836,MS/US Circulating,,,,978-1-41970858-9,
,"Asher, Jay, 1975-",What light,T 49350,MS/US Circulating,,,,978-1-59514-551-2,
,"Austen, Jane, 1775-1817.",Emma,T 48718,MS/US Circulating,,,,978-0-14-143958-7 (pbk.),Bildungsromans.
,"Austen, Jane, 1775-1817.",Emma,T 48718,MS/US Circulating,,,,978-0-14-143958-7 (pbk.),England -- Fiction.
,"Austen, Jane, 1775-1817.",Emma,T 48718,MS/US Circulating,,,,978-0-14-143958-7 (pbk.),Fathers and daughters -- Fiction.
,"Austen, Jane, 1775-1817.",Emma,T 48718,MS/US Circulating,,,,978-0-14-143958-7 (pbk.),Female friendship -- Fiction.
,"Austen, Jane, 1775-1817.",Emma,T 48718,MS/US Circulating,,,,978-0-14-143958-7 (pbk.),Humorous fiction.
,"Austen, Jane, 1775-1817.",Emma,T 48718,MS/US Circulating,,,,978-0-14-143958-7 (pbk.),Love stories.
,"Austen, Jane, 1775-1817.",Emma,T 48718,MS/US Circulating,,,,978-0-14-143958-7 (pbk.),Mate selection -- Fiction.
,"Austen, Jane, 1775-1817.",Emma,T 48718,MS/US Circulating,,,,978-0-14-143958-7 (pbk.),Young women -- Fiction.
,"Austen, Jane, 1775-1817.",Mansfield Park,T 48739,MS/US Circulating,,,,978-0-19-953553-8 (pbk.),England -- Social life and customs -- Fiction.
,"Austen, Jane, 1775-1817.",Pride and prejudice,T 24394,MS/US Circulating,,,,978-0-14-143951-8 (pbk.),Courtship -- Fiction.
,"Austen, Jane, 1775-1817.",Pride and prejudice,T 24394,MS/US Circulating,,,,978-0-14-143951-8 (pbk.),Domestic fiction.
,"Austen, Jane, 1775-1817.",Pride and prejudice,T 24394,MS/US Circulating,,,,978-0-14-143951-8 (pbk.),England -- Fiction.
,"Austen, Jane, 1775-1817.",Pride and prejudice,T 24394,MS/US Circulating,,,,978-0-14-143951-8 (pbk.),Love stories.
,"Austen, Jane, 1775-1817.",Pride and prejudice,T 24394,MS/US Circulating,,,,978-0-14-143951-8 (pbk.),Prejudices -- Fiction.
,"Austen, Jane, 1775-1817.",Pride and prejudice,T 24394,MS/US Circulating,,,,978-0-14-143951-8 (pbk.),Sisters -- Fiction.
,"Austen, Jane, 1775-1817.",Pride and prejudice,T 24394,MS/US Circulating,,,,978-0-14-143951-8 (pbk.),Social classes -- Fiction.
,"Austen, Jane, 1775-1817.",Pride and prejudice,T 24394,MS/US Circulating,,,,978-0-14-143951-8 (pbk.),Young women -- Fiction.
,"Austen, Jane, 1775-1817.",Sense and sensibility,T 22991,MS/US Circulating,,,,978-0-19-953557-6 (pbk.),Great Britain -- Social life and customs -- 19th century -- Fiction.
,"Avi, 1937-",School of the dead,T 24381,MS/US Circulating,,,,978-0-06-174085-5,
,"Avi, 1937-",Sophia's war : a tale of the Revolution,T 48767,MS/US Circulating,,,,978-1-44241441-9,"New York (N.Y.) -- History -- Revolution, 1775-1783."
,"Bacigalupi, Paolo.",The doubt factory,T 49142,MS/US Circulating,,,,978-0-316-22075-0,JUVENILE FICTION / Action & Adventure / General.
,"Bacigalupi, Paolo.",The doubt factory,T 49142,MS/US Circulating,,,,978-0-316-22075-0,JUVENILE FICTION / Family / Alternative Family.
,"Bacigalupi, Paolo.",The doubt factory,T 49142,MS/US Circulating,,,,978-0-316-22075-0,JUVENILE FICTION / Family / Parents.
,"Bacigalupi, Paolo.",The doubt factory,T 49142,MS/US Circulating,,,,978-0-316-22075-0,JUVENILE FICTION / Law & Crime.
,"Bacigalupi, Paolo.",The doubt factory,T 49142,MS/US Circulating,,,,978-0-316-22075-0,JUVENILE FICTION / Love & Romance.
,"Bacigalupi, Paolo.",The doubt factory,T 49142,MS/US Circulating,,,,978-0-316-22075-0,JUVENILE FICTION / Social Issues / Self-Esteem & Self-Reliance.
,"Bacigalupi, Paolo.",Zombie baseball beatdown,T 23793,MS/US Circulating,,,,978-0-316-22078-1,
,"Baldwin, James, 1924-",Go tell it on the mountain,T 22619,MS/US Circulating,,,,978-0-440-33007-3 (pbk.),
,"Balliett, Blue, 1955-",Hold fast,T 23600,MS/US Circulating,,,,978-0-545-29988-6,Chicago (Ill.)
,"Balliett, Blue, 1955-",Hold fast,T 23600,MS/US Circulating,,,,978-0-545-29988-6,Fathers and daughters.
,"Balliett, Blue, 1955-",Hold fast,T 23600,MS/US Circulating,,,,978-0-545-29988-6,Homeless families.
,"Balliett, Blue, 1955-",Hold fast,T 23600,MS/US Circulating,,,,978-0-545-29988-6,Kidnapping victims.
,"Balliett, Blue, 1955-",Hold fast,T 23600,MS/US Circulating,,,,978-0-545-29988-6,Missing persons.
,"Balliett, Blue, 1955-",Hold fast,T 23600,MS/US Circulating,,,,978-0-545-29988-6,Mystery fiction.
,"Balliett, Blue, 1955-",Hold fast,T 23600,MS/US Circulating,,,,978-0-545-29988-6,Smuggling.
,"Banash, Jennifer.",Silent alarm,T 49218,MS/US Circulating,,,,978-0-399-25789-6,
,"Barnett, Mac.",The terrible two,T 49213,MS/US Circulating,,,,978-1-41971491-7,JUVENILE FICTION / General.
,"Barnett, Mac.",The terrible two,T 49213,MS/US Circulating,,,,978-1-41971491-7,JUVENILE FICTION / Humorous Stories.
,"Barnett, Mac.",The terrible two,T 49213,MS/US Circulating,,,,978-1-41971491-7,JUVENILE FICTION / Readers / Chapter Books.
,"Barnhill, Kelly Regan,",The girl who drank the moon,T 49410,MS/US Circulating,,,,978-1-61620-567-6,Fantasy fiction.
,"Barnhill, Kelly Regan,",The girl who drank the moon,T 49410,MS/US Circulating,,,,978-1-61620-567-6,Friendship in children.
,"Barnhill, Kelly Regan,",The girl who drank the moon,T 49410,MS/US Circulating,,,,978-1-61620-567-6,Magic.
,"Barnhill, Kelly Regan,",The girl who drank the moon,T 49410,MS/US Circulating,,,,978-1-61620-567-6,Witches.
,"Bassoff, Leah,",Lost girl found,T 23900,MS/US Circulating,,,,978-1-55498-416-9,
,"Bauer, Joan, 1951-",Close to famous,T 49137,MS/US Circulating,,,,978-0-14-242017-1 (pbk.),
,"Bauer, Joan, 1951-",Soar,T 24441,MS/US Circulating,,,,978-0-451-47034-8,
,"Bedford, Martyn,",Twenty questions for Gloria,T 24256,MS/US Circulating,,,,978-0-553-53939-4,
,"Bell, Alex, 1986-",Frozen Charlotte,T 49360,MS/US Circulating,,,,978-0-545-94108-2,Cousins.
,"Bell, Alex, 1986-",Frozen Charlotte,T 49360,MS/US Circulating,,,,978-0-545-94108-2,Detective and mystery fiction.
,"Bell, Alex, 1986-",Frozen Charlotte,T 49360,MS/US Circulating,,,,978-0-545-94108-2,Dolls.
,"Bell, Alex, 1986-",Frozen Charlotte,T 49360,MS/US Circulating,,,,978-0-545-94108-2,Ghost stories.
,"Bell, Alex, 1986-",Frozen Charlotte,T 49360,MS/US Circulating,,,,978-0-545-94108-2,Haunted houses.
,"Bell, Alex, 1986-",Frozen Charlotte,T 49360,MS/US Circulating,,,,978-0-545-94108-2,Horror fiction.
,"Bell, Alex, 1986-",Frozen Charlotte,T 49360,MS/US Circulating,,,,978-0-545-94108-2,Horror tales.
,"Bell, Alex, 1986-",Frozen Charlotte,T 49360,MS/US Circulating,,,,978-0-545-94108-2,Mystery fiction.
,"Bell, Alex, 1986-",Frozen Charlotte,T 49360,MS/US Circulating,,,,978-0-545-94108-2,Scotland.
,"Bell, Alex, 1986-",Frozen Charlotte,T 49360,MS/US Circulating,,,,978-0-545-94108-2,Skye and Lochalsh (Scotland)
,"Bellow, Saul.",Seize the day,T 23200,MS/US Circulating,,,,978-0-14-243761-2 (pbk.),
,"Benway, Robin.",Also known as,T 23573,MS/US Circulating,,,,978-0-8027-3390-0,
,"Bergin, Virginia.",H2O,T 49181,MS/US Circulating,,,,978-1-49260654-3,
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Action and adventure fiction.
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Alternative histories (Fiction)
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Deserts
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Deserts -- Fiction.
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Diseases
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Diseases -- Fiction.
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Fantasy fiction.
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Horror fiction.
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Science fiction.
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Survival
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Survival -- Fiction.
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Texas
,"Berquist, Emma.",Devils unto dust,T 91635,MS/US Circulating,,,,978-0-06-264278-3,Texas -- Fiction.
,"Berry, Julie, 1974-",All the truth that's in me,T 23723,MS/US Circulating,,,,978-0-670-78615-2,
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,Albigenses
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,Albigenses -- Fiction.
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,Christian heresies
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,Christian heresies -- Fiction.
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,Faith
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,Faith -- Fiction.
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,"France -- History -- Louis IX, 1226-1270"
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,"France -- History -- Louis IX, 1226-1270 -- Fiction."
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,Historical fiction
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,Inquisition -- Fiction.
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,Inquisition -- France -- Provence
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,Provence (France) -- History -- 13th century
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,Provence (France) -- History -- 13th century -- Fiction.
,"Berry, Julie, 1974-",The passion of Dolssa,T 35626,MS/US Circulating,,,,978-0-451-46992-2,Young adult fiction.
,"Black, Holly.",Doll bones,T 23674,MS/US Circulating,,,,978-1-41696398-1,
,"Blackman, Malorie.",Naughts & crosses,T 23013,MS/US Circulating,,,,978-1-41690016-0,
,"Bosch, Pseudonymous.",Bad magic,T 49154,MS/US Circulating,,,,978-0-316-32038-2,
,"Bosma, Sam,",Fantasy sports. No. 1,T 24152,MS/US Circulating,,,,978-1-907704-80-2,Graphic novels.
,"Bow, Erin,",The swan riders,T 24426,MS/US Circulating,,,,978-1-48144274-9,
,"Boyne, John, 1971-",The boy at the top of the mountain,T 24365,MS/US Circulating,,,,978-1-62779-030-7,JUVENILE FICTION / Family / Orphans & Foster Homes.
,"Boyne, John, 1971-",The boy at the top of the mountain,T 24365,MS/US Circulating,,,,978-1-62779-030-7,JUVENILE FICTION / Historical / Military & Wars.
,"Boyne, John, 1971-",The boy at the top of the mountain,T 24365,MS/US Circulating,,,,978-1-62779-030-7,JUVENILE FICTION / Social Issues / Values & Virtues.
,"Bradbury, Jennifer.",A moment comes,T 23755,MS/US Circulating,,,,978-1-41697876-3,
,"Bradbury, Ray, 1920-",Fahrenheit 451,T 48722,MS/US Circulating,,,,978-1-45167331-9 (pbk.),Book burning -- Fiction.
,"Bradbury, Ray, 1920-",Fahrenheit 451,T 48722,MS/US Circulating,,,,978-1-45167331-9 (pbk.),Censorship -- Fiction.
,"Bradbury, Ray, 1920-",Fahrenheit 451,T 48722,MS/US Circulating,,,,978-1-45167331-9 (pbk.),Political fiction.
,"Bradbury, Ray, 1920-",Fahrenheit 451,T 48722,MS/US Circulating,,,,978-1-45167331-9 (pbk.),Satire.
,"Bradbury, Ray, 1920-",Fahrenheit 451,T 48722,MS/US Circulating,,,,978-1-45167331-9 (pbk.),Science fiction.
,"Bradbury, Ray, 1920-",Fahrenheit 451,T 48722,MS/US Circulating,,,,978-1-45167331-9 (pbk.),State-sponsored terrorism -- Fiction.
,"Bradbury, Ray, 1920-",Fahrenheit 451,T 48722,MS/US Circulating,,,,978-1-45167331-9 (pbk.),Totalitarianism -- Fiction.
,"Bradbury, Ray, 1920-",Something wicked this way comes,T 23630,MS/US Circulating,,,,978-0-380-72940-1 (pbk.),
,"Bradley, C. Alan, 1938-",Speaking from among the bones : a Flavia de Luce novel,T 23631,MS/US Circulating,,,,978-0-385-34403-6,Detectives -- England -- Fiction.
,"Bradley, C. Alan, 1938-",Speaking from among the bones : a Flavia de Luce novel,T 23631,MS/US Circulating,,,,978-0-385-34403-6,Murder -- Investigation -- Fiction.
,"Bradley, C. Alan, 1938-",Speaking from among the bones : a Flavia de Luce novel,T 23631,MS/US Circulating,,,,978-0-385-34403-6,Mystery fiction.
,"Brahmachari, Sita, 1966-",Jasmine skies,T 49182,MS/US Circulating,,,,978-0-8075-3782-4 (lib. bdg.),JUVENILE FICTION / Family / Multigenerational.
,"Brahmachari, Sita, 1966-",Jasmine skies,T 49182,MS/US Circulating,,,,978-0-8075-3782-4 (lib. bdg.),JUVENILE FICTION / People & Places / Asia.
,"Brahmachari, Sita, 1966-",Jasmine skies,T 49182,MS/US Circulating,,,,978-0-8075-3782-4 (lib. bdg.),JUVENILE FICTION / Social Issues / New Experience.
,"Brashares, Ann.",The here and now,T 49050,MS/US Circulating,,,,978-0-385-73680-0,
,"Bray, Libba.",The diviners,T 64514,MS/US Circulating,,,,978-0-316-12611-3,JUVENILE FICTION / Fantasy & Magic.
,"Bray, Libba.",The diviners,T 64514,MS/US Circulating,,,,978-0-316-12611-3,JUVENILE FICTION / Girls & Women.
,"Bray, Libba.",The diviners,T 64514,MS/US Circulating,,,,978-0-316-12611-3,JUVENILE FICTION / Historical / United States / 20th Century.
,"Britt, Fanny,","Jane, the fox & me",T 23815,MS/US Circulating,,,,978-1-55498-360-5,Graphic novels.
,"Broach, Elise.",Shakespeare's secret,T 23772,MS/US Circulating,,,,978-0-312-37132-6 (pbk.),"Shakespeare, William, 1564-1616 -- Authorship."
,"Bront�, Emily, 1818-1848.",Wuthering Heights,T 48852,MS/US Circulating,,,,978-0-307-45518-5 (pbk.),Love stories.
,"Bront�, Emily, 1818-1848.",Wuthering Heights,T 48852,MS/US Circulating,,,,978-0-307-45518-5 (pbk.),Revenge -- Fiction.
,"Bront�, Emily, 1818-1848.",Wuthering Heights,T 48852,MS/US Circulating,,,,978-0-307-45518-5 (pbk.),Triangles (Interpersonal relations) -- Fiction.
,"Bront�, Emily, 1818-1848.",Wuthering Heights,T 48852,MS/US Circulating,,,,978-0-307-45518-5 (pbk.),Yorkshire (England) -- Fiction.
,"Brown, Dan, 1964-",The Da Vinci code : a novel,T 23588,MS/US Circulating,,,,978-0-385-50420-1,Art museum curators -- Crimes against -- Fiction.
,"Brown, Dan, 1964-",The Da Vinci code : a novel,T 23588,MS/US Circulating,,,,978-0-385-50420-1,Cryptographers -- Fiction.
,"Brown, Dan, 1964-",The Da Vinci code : a novel,T 23588,MS/US Circulating,,,,978-0-385-50420-1,Grail -- Fiction.
,"Brown, Dan, 1964-",The Da Vinci code : a novel,T 23588,MS/US Circulating,,,,978-0-385-50420-1,"Leonardo, da Vinci, 1452-1519 -- Appreciation -- Fiction."
,"Brown, Dan, 1964-",The Da Vinci code : a novel,T 23588,MS/US Circulating,,,,978-0-385-50420-1,Mystery fiction.
,"Brown, Dan, 1964-",The Da Vinci code : a novel,T 23588,MS/US Circulating,,,,978-0-385-50420-1,Paris (France) -- Fiction.
,"Brown, Dan, 1964-",The Da Vinci code : a novel,T 23588,MS/US Circulating,,,,978-0-385-50420-1,Secret societies -- Fiction.
,"Brown, Gavin, 1983-",Josh Baxter levels up,T 24271,MS/US Circulating,,,,978-0-545-77294-5,
,"Brown, Jeffrey.",Star Wars : Jedi academy 2,T 35568,MS/US Circulating,,,,978-0-545-62125-0,
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,Children -- Fiction.
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,Comics (Graphic works)
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,Extraterrestrial beings
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,Extraterrestrial beings -- Fiction.
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,Humorous fiction.
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,Humorous stories.
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,Robots
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,Robots -- Fiction.
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,School children
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,Schools
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,Schools -- Fiction.
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,Science fiction.
,"Brown, Jeffrey, 1975-",Jedi Academy,T 49287,MS/US Circulating,,,,978-0-545-50517-8,Star Wars fiction.
,"Brown, Jeffrey, 1975-",The phantom bully,T 24132,MS/US Circulating,,,,978-0-545-62126-7,Children -- Fiction.
,"Brown, Jeffrey, 1975-",The phantom bully,T 24132,MS/US Circulating,,,,978-0-545-62126-7,Comics (Graphic works)
,"Brown, Jeffrey, 1975-",The phantom bully,T 24132,MS/US Circulating,,,,978-0-545-62126-7,Extraterrestrial beings
,"Brown, Jeffrey, 1975-",The phantom bully,T 24132,MS/US Circulating,,,,978-0-545-62126-7,Extraterrestrial beings -- Fiction.
,"Brown, Jeffrey, 1975-",The phantom bully,T 24132,MS/US Circulating,,,,978-0-545-62126-7,Humorous fiction.
,"Brown, Jeffrey, 1975-",The phantom bully,T 24132,MS/US Circulating,,,,978-0-545-62126-7,Robots
,"Brown, Jeffrey, 1975-",The phantom bully,T 24132,MS/US Circulating,,,,978-0-545-62126-7,Robots -- Fiction.
,"Brown, Jeffrey, 1975-",The phantom bully,T 24132,MS/US Circulating,,,,978-0-545-62126-7,School children
,"Brown, Jeffrey, 1975-",The phantom bully,T 24132,MS/US Circulating,,,,978-0-545-62126-7,Schools
,"Brown, Jeffrey, 1975-",The phantom bully,T 24132,MS/US Circulating,,,,978-0-545-62126-7,Schools -- Fiction.
,"Brown, Jeffrey, 1975-",The phantom bully,T 24132,MS/US Circulating,,,,978-0-545-62126-7,Science fiction.
,"Brown, Jeffrey, 1975-",The phantom bully,T 24132,MS/US Circulating,,,,978-0-545-62126-7,Star Wars fiction.
,"Brown, Jennifer, 1972-",Thousand words,T 23699,MS/US Circulating,,,,978-0-316-20972-4,
,"Bruchac, Joseph, 1942-",Code talker : a novel about the Navajo Marines of World War Two,T 23585,MS/US Circulating,,,,978-0-14-240596-3 (pbk.),
,"Buckingham, Royce.",The terminals,T 49155,MS/US Circulating,,,,978-1-25001155-8,JUVENILE FICTION / Action & Adventure / General.
,"Buckley, Michael.",The sisters Grimm. Book one : the fairy-tale detectives,T 48579,MS/US Circulating,,,,978-0-8109-9322-8 (pbk.),
,"Burroughs, Edgar Rice, 1875-1950.",Tarzan of the apes,T 23783,MS/US Circulating,,,,978-0-451-53102-5 (pbk.),Adventure fiction.
,"Burroughs, Edgar Rice, 1875-1950.",Tarzan of the apes,T 23783,MS/US Circulating,,,,978-0-451-53102-5 (pbk.),Africa -- Fiction.
,"Burroughs, Edgar Rice, 1875-1950.",Tarzan of the apes,T 23783,MS/US Circulating,,,,978-0-451-53102-5 (pbk.),British -- Africa -- Fiction.
,"Burroughs, Edgar Rice, 1875-1950.",Tarzan of the apes,T 23783,MS/US Circulating,,,,978-0-451-53102-5 (pbk.),Fantasy fiction.
,"Burroughs, Edgar Rice, 1875-1950.",Tarzan of the apes,T 23783,MS/US Circulating,,,,978-0-451-53102-5 (pbk.),Tarzan (Fictitious character) -- Fiction.
,"Burroughs, Edgar Rice, 1875-1950.",Tarzan of the apes,T 23783,MS/US Circulating,,,,978-0-451-53102-5 (pbk.),Wild men -- Fiction.
,"Buyea, Rob.",Mr. Terupt falls again,T 49286,MS/US Circulating,,,,978-0-385-74205-4,Classrooms.
,"Buyea, Rob.",Mr. Terupt falls again,T 49286,MS/US Circulating,,,,978-0-385-74205-4,"Moving, Household."
,"Buyea, Rob.",Mr. Terupt falls again,T 49286,MS/US Circulating,,,,978-0-385-74205-4,Summer.
,"Buyea, Rob.",Mr. Terupt falls again,T 49286,MS/US Circulating,,,,978-0-385-74205-4,Teacher-student relationships.
,"Buyea, Rob.",Saving Mr. Terupt,T 49290,MS/US Circulating,,,,978-0-385-74355-6,JUVENILE FICTION / Family / General (see also headings under Social Issues).
,"Buyea, Rob.",Saving Mr. Terupt,T 49290,MS/US Circulating,,,,978-0-385-74355-6,JUVENILE FICTION / Social Issues / Bullying.
,"Buyea, Rob.",Saving Mr. Terupt,T 49290,MS/US Circulating,,,,978-0-385-74355-6,JUVENILE FICTION / Social Issues / Friendship.
,by Ryan North and William Shakespeare and you because you decide what happens next not to mention all the artists who made some great illustrations so,Romeo and/or Juliet : a chooseable-path adventure,T 49309,MS/US Circulating,,,,978-1-10198330-0 (pbk.),Humorous fiction.
,by Ryan North and William Shakespeare and you because you decide what happens next not to mention all the artists who made some great illustrations so,Romeo and/or Juliet : a chooseable-path adventure,T 49309,MS/US Circulating,,,,978-1-10198330-0 (pbk.),Juliet (Fictitious character) -- Fiction.
,by Ryan North and William Shakespeare and you because you decide what happens next not to mention all the artists who made some great illustrations so,Romeo and/or Juliet : a chooseable-path adventure,T 49309,MS/US Circulating,,,,978-1-10198330-0 (pbk.),Plot-your-own stories.
,by Ryan North and William Shakespeare and you because you decide what happens next not to mention all the artists who made some great illustrations so,Romeo and/or Juliet : a chooseable-path adventure,T 49309,MS/US Circulating,,,,978-1-10198330-0 (pbk.),Romeo (Fictitious character) -- Fiction.
,by Ryan North and William Shakespeare and you because you decide what happens next not to mention all the artists who made some great illustrations so,Romeo and/or Juliet : a chooseable-path adventure,T 49309,MS/US Circulating,,,,978-1-10198330-0 (pbk.),"Shakespeare, William, 1564-1616. Romeo and Juliet -- Adaptations."
,"by Ryan North, William Shakespeare, and you.",To be or not to be : a chooseable-path adventure,T 49321,MS/US Circulating,,,,978-0-7352-1219-0 (pbk.),Hamlet (Legendary character) -- Fiction.
,"by Ryan North, William Shakespeare, and you.",To be or not to be : a chooseable-path adventure,T 49321,MS/US Circulating,,,,978-0-7352-1219-0 (pbk.),Humorous fiction.
,"by Ryan North, William Shakespeare, and you.",To be or not to be : a chooseable-path adventure,T 49321,MS/US Circulating,,,,978-0-7352-1219-0 (pbk.),Ophelia (Fictitious character) -- Fiction.
